ZEIT,TAG,TX,TM,TN
1961-01-01T00:00,19610101,2.4,1.0,0.0
1961-01-02T00:00,19610102,1.4,0.2,-0.9
1961-01-03T00:00,19610103,3.8,2.3,-0.5
1961-01-04T00:00,19610104,5.3,2.8,1.4
1961-01-05T00:00,19610105,3.6,1.3,0.1
1961-01-06T00:00,19610106,3.0,1.7,-0.2
1961-01-07T00:00,19610107,4.1,2.0,1.0
1961-01-08T00:00,19610108,3.2,2.1,0.5
1961-01-09T00:00,19610109,5.8,3.9,2.4
1961-01-10T00:00,19610110,4.2,2.7,0.6
1961-01-11T00:00,19610111,3.7,1.3,-0.2
1961-01-12T00:00,19610112,0.0,-2.0,-3.6
1961-01-13T00:00,19610113,2.0,-1.8,-5.7
1961-01-14T00:00,19610114,1.6,0.3,-0.5
1961-01-15T00:00,19610115,0.3,-0.7,-2.3
1961-01-16T00:00,19610116,-2.3,-4.8,-6.8
1961-01-17T00:00,19610117,-1.8,-3.6,-6.8
1961-01-18T00:00,19610118,-2.3,-8.3,-11.1
1961-01-19T00:00,19610119,-1.8,-5.6,-8.6
1961-01-20T00:00,19610120,-0.4,-3.7,-5.8
1961-01-21T00:00,19610121,0.4,-2.7,-6.0
1961-01-22T00:00,19610122,1.8,-0.8,-4.0
1961-01-23T00:00,19610123,0.5,-2.2,-3.5
1961-01-24T00:00,19610124,-3.5,-6.6,-8.7
1961-01-25T00:00,19610125,-5.8,-9.2,-12.6
1961-01-26T00:00,19610126,-7.6,-12.5,-17.3
1961-01-27T00:00,19610127,0.4,-7.6,-14.0
1961-01-28T00:00,19610128,-2.9,-4.7,-7.7
1961-01-29T00:00,19610129,6.7,2.3,-5.0
1961-01-30T00:00,19610130,7.6,7.0,4.1
1961-01-31T00:00,19610131,7.4,6.0,3.5
1961-02-01T00:00,19610201,6.1,2.7,1.5
1961-02-02T00:00,19610202,5.1,2.6,1.4
1961-02-03T00:00,19610203,1.4,0.3,-0.4
1961-02-04T00:00,19610204,1.8,0.3,-1.0
1961-02-05T00:00,19610205,0.8,-0.9,-2.7
1961-02-06T00:00,19610206,3.3,0.6,-4.4
1961-02-07T00:00,19610207,7.3,5.1,1.6
1961-02-08T00:00,19610208,5.3,3.4,0.2
1961-02-09T00:00,19610209,9.2,5.7,1.4
1961-02-10T00:00,19610210,6.4,4.0,2.2
1961-02-11T00:00,19610211,8.9,5.8,3.6
1961-02-12T00:00,19610212,6.3,4.5,3.4
1961-02-13T00:00,19610213,6.8,4.9,2.9
1961-02-14T00:00,19610214,10.5,6.0,4.8
1961-02-15T00:00,19610215,13.3,6.3,3.0
1961-02-16T00:00,19610216,7.2,6.2,2.9
1961-02-17T00:00,19610217,12.3,6.6,1.4
1961-02-18T00:00,19610218,13.0,5.4,0.5
1961-02-19T00:00,19610219,5.7,4.2,1.4
1961-02-20T00:00,19610220,5.8,4.7,3.4
1961-02-21T00:00,19610221,8.3,4.1,-0.3
1961-02-22T00:00,19610222,7.4,3.7,1.4
1961-02-23T00:00,19610223,7.3,5.0,1.5
1961-02-24T00:00,19610224,8.4,5.1,1.1
1961-02-25T00:00,19610225,6.7,4.1,1.6
1961-02-26T00:00,19610226,10.2,4.2,1.8
1961-02-27T00:00,19610227,8.8,5.6,3.0
1961-02-28T00:00,19610228,12.8,9.4,2.9
1961-03-01T00:00,19610301,6.0,3.6,2.1
1961-03-02T00:00,19610302,7.9,4.7,2.6
1961-03-03T00:00,19610303,6.5,5.3,4.3
1961-03-04T00:00,19610304,9.4,4.9,2.2
1961-03-05T00:00,19610305,11.0,5.9,2.0
1961-03-06T00:00,19610306,12.4,6.5,1.6
1961-03-07T00:00,19610307,13.6,8.0,2.4
1961-03-08T00:00,19610308,14.8,7.9,2.8
1961-03-09T00:00,19610309,15.8,9.1,2.1
1961-03-10T00:00,19610310,18.8,10.0,2.3
1961-03-11T00:00,19610311,13.7,9.6,6.8
1961-03-12T00:00,19610312,16.6,10.6,4.0
1961-03-13T00:00,19610313,13.6,9.0,6.9
1961-03-14T00:00,19610314,10.0,8.8,7.4
1961-03-15T00:00,19610315,11.0,9.3,7.7
1961-03-16T00:00,19610316,14.6,10.1,7.6
1961-03-17T00:00,19610317,18.6,11.0,5.2
1961-03-18T00:00,19610318,14.8,10.7,6.7
1961-03-19T00:00,19610319,7.0,3.2,0.7
1961-03-20T00:00,19610320,3.9,0.5,-3.7
1961-03-21T00:00,19610321,4.0,2.2,-0.6
1961-03-22T00:00,19610322,4.0,0.4,-3.0
1961-03-23T00:00,19610323,7.1,5.0,2.0
1961-03-24T00:00,19610324,10.7,7.4,5.1
1961-03-25T00:00,19610325,10.9,7.0,4.5
1961-03-26T00:00,19610326,14.3,9.0,5.5
1961-03-27T00:00,19610327,10.2,4.4,2.0
1961-03-28T00:00,19610328,3.4,1.2,-1.4
1961-03-29T00:00,19610329,8.0,4.3,1.5
1961-03-30T00:00,19610330,12.0,8.2,5.2
1961-03-31T00:00,19610331,9.1,5.1,1.4
1961-04-01T00:00,19610401,11.8,6.3,0.0
1961-04-02T00:00,19610402,8.4,4.9,3.0
1961-04-03T00:00,19610403,8.7,6.8,5.0
1961-04-04T00:00,19610404,10.3,6.5,4.1
1961-04-05T00:00,19610405,20.7,12.7,5.4
1961-04-06T00:00,19610406,25.2,18.2,12.6
1961-04-07T00:00,19610407,24.4,18.1,11.7
1961-04-08T00:00,19610408,19.3,9.5,6.4
1961-04-09T00:00,19610409,9.7,5.1,1.5
1961-04-10T00:00,19610410,12.7,6.8,1.4
1961-04-11T00:00,19610411,16.2,10.1,4.4
1961-04-12T00:00,19610412,18.8,11.3,5.0
1961-04-13T00:00,19610413,21.7,14.6,9.2
1961-04-14T00:00,19610414,24.8,16.0,11.5
1961-04-15T00:00,19610415,15.0,11.8,9.2
1961-04-16T00:00,19610416,13.2,9.2,8.2
1961-04-17T00:00,19610417,17.7,12.2,8.0
1961-04-18T00:00,19610418,19.0,12.4,6.3
1961-04-19T00:00,19610419,16.3,11.6,8.1
1961-04-20T00:00,19610420,16.0,11.0,6.5
1961-04-21T00:00,19610421,18.8,12.2,1.5
1961-04-22T00:00,19610422,19.5,14.6,10.0
1961-04-23T00:00,19610423,17.0,13.5,9.0
1961-04-24T00:00,19610424,20.5,14.9,7.3
1961-04-25T00:00,19610425,17.4,11.2,5.7
1961-04-26T00:00,19610426,19.3,11.9,4.8
1961-04-27T00:00,19610427,16.0,12.5,8.3
1961-04-28T00:00,19610428,16.0,12.0,7.4
1961-04-29T00:00,19610429,18.1,12.7,7.6
1961-04-30T00:00,19610430,17.6,12.1,8.3
1961-05-01T00:00,19610501,14.5,11.7,10.0
1961-05-02T00:00,19610502,17.0,12.8,9.1
1961-05-03T00:00,19610503,16.8,13.3,9.5
1961-05-04T00:00,19610504,18.7,13.6,8.9
1961-05-05T00:00,19610505,22.9,16.5,10.3
1961-05-06T00:00,19610506,20.2,14.2,11.3
1961-05-07T00:00,19610507,17.3,13.3,9.3
1961-05-08T00:00,19610508,13.4,9.6,6.8
1961-05-09T00:00,19610509,9.2,7.4,6.3
1961-05-10T00:00,19610510,10.9,7.5,6.0
1961-05-11T00:00,19610511,9.7,7.3,4.8
1961-05-12T00:00,19610512,10.3,6.9,2.6
1961-05-13T00:00,19610513,13.2,8.4,3.9
1961-05-14T00:00,19610514,11.4,8.1,5.8
1961-05-15T00:00,19610515,12.4,7.1,3.7
1961-05-16T00:00,19610516,12.9,8.0,5.2
1961-05-17T00:00,19610517,13.5,9.6,6.5
1961-05-18T00:00,19610518,15.2,11.0,6.9
1961-05-19T00:00,19610519,15.4,11.6,8.7
1961-05-20T00:00,19610520,15.0,10.7,6.7
1961-05-21T00:00,19610521,14.9,10.5,7.4
1961-05-22T00:00,19610522,17.3,12.2,8.2
1961-05-23T00:00,19610523,18.6,13.2,7.2
1961-05-24T00:00,19610524,16.3,12.1,7.5
1961-05-25T00:00,19610525,20.3,14.2,6.5
1961-05-26T00:00,19610526,23.5,16.2,10.8
1961-05-27T00:00,19610527,15.4,9.1,6.3
1961-05-28T00:00,19610528,8.1,5.9,3.7
1961-05-29T00:00,19610529,7.9,7.2,6.0
1961-05-30T00:00,19610530,8.8,7.6,6.4
1961-05-31T00:00,19610531,11.3,9.7,8.0
1961-06-01T00:00,19610601,24.9,16.5,6.4
1961-06-02T00:00,19610602,23.0,18.7,12.2
1961-06-03T00:00,19610603,21.0,15.3,10.0
1961-06-04T00:00,19610604,21.5,15.5,12.8
1961-06-05T00:00,19610605,23.4,18.2,13.0
1961-06-06T00:00,19610606,24.0,17.8,12.4
1961-06-07T00:00,19610607,22.3,18.2,14.1
1961-06-08T00:00,19610608,19.7,16.4,14.6
1961-06-09T00:00,19610609,24.0,18.6,12.1
1961-06-10T00:00,19610610,21.5,13.8,10.6
1961-06-11T00:00,19610611,19.8,14.5,9.3
1961-06-12T00:00,19610612,18.4,14.9,11.4
1961-06-13T00:00,19610613,17.8,13.8,9.9
1961-06-14T00:00,19610614,15.8,12.4,10.8
1961-06-15T00:00,19610615,15.7,12.4,9.6
1961-06-16T00:00,19610616,19.2,13.7,6.8
1961-06-17T00:00,19610617,23.3,16.9,8.3
1961-06-18T00:00,19610618,27.5,21.1,14.3
1961-06-19T00:00,19610619,25.0,16.3,11.9
1961-06-20T00:00,19610620,19.6,15.0,9.7
1961-06-21T00:00,19610621,21.1,16.2,9.8
1961-06-22T00:00,19610622,25.4,18.0,8.2
1961-06-23T00:00,19610623,23.2,18.1,13.0
1961-06-24T00:00,19610624,25.4,20.1,13.6
1961-06-25T00:00,19610625,29.7,22.7,15.5
1961-06-26T00:00,19610626,28.5,23.1,16.7
1961-06-27T00:00,19610627,26.9,20.6,16.9
1961-06-28T00:00,19610628,18.0,14.8,10.9
1961-06-29T00:00,19610629,23.5,17.6,11.7
1961-06-30T00:00,19610630,26.6,20.2,12.0
1961-07-01T00:00,19610701,29.5,22.8,13.6
1961-07-02T00:00,19610702,32.1,24.6,16.2
1961-07-03T00:00,19610703,32.8,24.6,17.9
1961-07-04T00:00,19610704,24.0,17.2,14.5
1961-07-05T00:00,19610705,17.0,12.9,9.8
1961-07-06T00:00,19610706,15.0,11.6,8.3
1961-07-07T00:00,19610707,18.2,14.0,8.0
1961-07-08T00:00,19610708,23.6,16.5,9.1
1961-07-09T00:00,19610709,20.7,15.1,12.2
1961-07-10T00:00,19610710,17.8,14.5,11.1
1961-07-11T00:00,19610711,25.7,18.6,13.4
1961-07-12T00:00,19610712,29.0,22.0,14.8
1961-07-13T00:00,19610713,26.6,18.5,15.0
1961-07-14T00:00,19610714,21.4,15.9,12.0
1961-07-15T00:00,19610715,24.8,19.5,14.8
1961-07-16T00:00,19610716,22.0,17.6,12.6
1961-07-17T00:00,19610717,18.2,11.7,10.6
1961-07-18T00:00,19610718,19.3,14.5,10.4
1961-07-19T00:00,19610719,19.2,15.3,11.5
1961-07-20T00:00,19610720,19.0,14.5,11.3
1961-07-21T00:00,19610721,15.3,13.6,12.3
1961-07-22T00:00,19610722,15.4,13.6,12.3
1961-07-23T00:00,19610723,15.4,13.6,11.7
1961-07-24T00:00,19610724,15.3,13.3,10.6
1961-07-25T00:00,19610725,19.3,14.7,11.2
1961-07-26T00:00,19610726,26.2,19.1,12.2
1961-07-27T00:00,19610727,23.6,19.4,15.8
1961-07-28T00:00,19610728,17.6,15.3,13.5
1961-07-29T00:00,19610729,15.5,12.4,10.5
1961-07-30T00:00,19610730,16.0,13.0,10.5
1961-07-31T00:00,19610731,17.7,14.1,11.1
1961-08-01T00:00,19610801,21.4,16.3,11.0
1961-08-02T00:00,19610802,19.9,15.7,11.8
1961-08-03T00:00,19610803,18.8,14.7,11.1
1961-08-04T00:00,19610804,18.2,14.8,10.4
1961-08-05T00:00,19610805,26.4,20.5,15.8
1961-08-06T00:00,19610806,31.6,24.9,19.0
1961-08-07T00:00,19610807,27.4,17.5,15.5
1961-08-08T00:00,19610808,25.2,17.8,10.0
1961-08-09T00:00,19610809,25.4,21.4,16.8
1961-08-10T00:00,19610810,26.8,20.5,17.2
1961-08-11T00:00,19610811,20.6,17.3,16.0
1961-08-12T00:00,19610812,19.8,16.7,14.3
1961-08-13T00:00,19610813,18.0,14.3,11.1
1961-08-14T00:00,19610814,21.2,14.4,8.5
1961-08-15T00:00,19610815,18.3,14.9,12.6
1961-08-16T00:00,19610816,14.6,11.8,9.4
1961-08-17T00:00,19610817,14.0,11.7,9.8
1961-08-18T00:00,19610818,16.0,13.1,10.6
1961-08-19T00:00,19610819,20.3,16.0,12.6
1961-08-20T00:00,19610820,19.0,14.1,11.5
1961-08-21T00:00,19610821,21.9,17.2,14.1
1961-08-22T00:00,19610822,19.5,15.6,13.0
1961-08-23T00:00,19610823,17.4,14.2,11.5
1961-08-24T00:00,19610824,18.4,13.9,10.6
1961-08-25T00:00,19610825,20.0,15.4,12.0
1961-08-26T00:00,19610826,24.5,18.7,14.1
1961-08-27T00:00,19610827,27.0,20.9,15.6
1961-08-28T00:00,19610828,23.2,18.7,14.5
1961-08-29T00:00,19610829,25.6,18.6,11.0
1961-08-30T00:00,19610830,27.3,19.6,11.2
1961-08-31T00:00,19610831,28.1,20.4,13.4
1961-09-01T00:00,19610901,28.6,21.7,15.9
1961-09-02T00:00,19610902,29.3,23.1,17.0
1961-09-03T00:00,19610903,30.7,22.6,17.3
1961-09-04T00:00,19610904,26.4,21.7,17.2
1961-09-05T00:00,19610905,28.0,20.6,15.1
1961-09-06T00:00,19610906,22.7,18.4,15.8
1961-09-07T00:00,19610907,19.3,14.8,12.0
1961-09-08T00:00,19610908,15.6,12.6,10.3
1961-09-09T00:00,19610909,15.1,13.2,11.6
1961-09-10T00:00,19610910,14.0,12.5,11.3
1961-09-11T00:00,19610911,20.2,15.3,12.3
1961-09-12T00:00,19610912,19.2,14.8,13.2
1961-09-13T00:00,19610913,20.1,15.6,12.0
1961-09-14T00:00,19610914,22.8,18.2,14.9
1961-09-15T00:00,19610915,20.8,15.4,9.9
1961-09-16T00:00,19610916,28.1,19.8,12.4
1961-09-17T00:00,19610917,29.7,22.2,16.4
1961-09-18T00:00,19610918,29.4,22.1,16.8
1961-09-19T00:00,19610919,23.5,19.0,15.1
1961-09-20T00:00,19610920,22.6,15.6,9.6
1961-09-21T00:00,19610921,23.7,15.7,10.8
1961-09-22T00:00,19610922,22.2,15.0,8.7
1961-09-23T00:00,19610923,22.2,14.1,7.1
1961-09-24T00:00,19610924,23.3,14.9,8.2
1961-09-25T00:00,19610925,18.1,13.9,11.0
1961-09-26T00:00,19610926,16.0,13.3,11.0
1961-09-27T00:00,19610927,20.6,14.7,11.8
1961-09-28T00:00,19610928,26.1,18.0,13.0
1961-09-29T00:00,19610929,28.1,20.8,14.7
1961-09-30T00:00,19610930,26.6,20.8,16.0
1961-10-01T00:00,19611001,22.1,16.0,15.0
1961-10-02T00:00,19611002,18.0,11.5,6.1
1961-10-03T00:00,19611003,20.2,12.2,6.3
1961-10-04T00:00,19611004,18.0,15.0,11.6
1961-10-05T00:00,19611005,21.6,15.8,11.8
1961-10-06T00:00,19611006,22.1,16.8,12.4
1961-10-07T00:00,19611007,19.8,16.1,13.8
1961-10-08T00:00,19611008,15.8,13.5,10.4
1961-10-09T00:00,19611009,19.4,13.6,10.2
1961-10-10T00:00,19611010,22.4,14.0,8.9
1961-10-11T00:00,19611011,22.0,14.1,8.9
1961-10-12T00:00,19611012,17.0,13.8,11.2
1961-10-13T00:00,19611013,14.7,9.8,6.8
1961-10-14T00:00,19611014,14.7,8.9,5.6
1961-10-15T00:00,19611015,15.6,10.3,7.4
