no,year,brand,weight,width,height,taste
1,2019,EB,107,61,54,6
2,2019,EB,100,65,55,7
3,2019,EB,89,58,49,10
4,2019,EB,99,62,52,7
5,2019,EB,99,64,58,8
6,2019,EB,96,63,59,8
7,2019,EB,100,54,54,7
8,2019,EB,89,58.5,47,8
9,2019,EB,86,66,48,7
10,2019,EB,92,43,33,8
11,2019,EB,102,48,33,9
12,2019,EB,92,43,32,8
14,2019,EB,96,41,31,10
15,2019,EB,90,44,32,8
1,2019,EP,88,58,53,9
2,2019,EP,81,56.95,50.55,8
3,2019,EP,80,59.1,47.51,10
4,2019,EP,80,56.49,47.07,9
5,2019,EP,75,59.09,44.76,6
6,2019,EP,98,61.42,50.58,7
7,2019,EP,82,57.6,50.02,6
8,2019,EP,96,62.25,49.5,4
1,2019,LB,81,52,49,8
2,2019,LB,81,41,35,8
3,2019,LB,73,42,32,7
4,2019,LB,87,43,35,8
5,2019,LB,72,41,35,6
6,2019,LB,74,40,31,7
7,2019,LB,75,39,36,7
8,2019,LB,73,41,34,9
9,2019,LB,65,37,31,9
10,2019,LB,66,40,31,7
11,2019,LB,75,41,36,6
12,2019,LB,92,42,33,6
1,2019,LO,88,41,40,9
2,2019,LO,93,57,49.1,10
3,2019,LO,87,54.8,49.5,6
4,2019,LO,88,58.4,48.6,8
5,2019,LO,114,63.4,54.8,9
6,2019,LO,74,60.52,42.72,5
7,2019,LO,152,63.27,47.23,6
8,2019,LO,113,59.76,38.71,2
9,2019,LO,98,59.51,43.34,7
10,2019,LO,125,64.27,50.57,7
1,2019,NB,95,60,55,10
2,2019,NB,109,62,53,6
3,2019,NB,66,68,58,8
5,2019,NB,118,63,56,8
6,2019,NB,95,52,59,7
8,2019,NB,120,68,61,10
5,2019,NB,103,56,62,6
1,2019,NP,64,66,56,9
2,2019,NP,120,66.22,52.2,7
3,2019,NP,114,61.85,53.09,6
4,2019,NP,110,61.5,53.68,9
5,2019,NP,115,61.35,55.57,8
6,2019,NP,109,61.03,53.39,8
7,2019,NP,101,61.15,49.07,9
8,2019,NP,116,63.09,54.64,8
9,2019,NP,110,61.73,56.23,9
