Site,Habitat,Stream,Flood,Mollusca,Diptera,Baetis,Plecoptera,Coleoptera,Turbellaria,Heptageniidae,Ephemeroptera,Gammarus,Trichoptera,Acari,Nematoda,Oligochaeta
GP9,p,g,n,3,165,91,14,6,3,9,136,256,45,6,0,11
GR9,r,g,n,31,438,728,31,728,11,31,0,65,367,3,0,503
TP9,p,t,n,0,26,3,20,9,0,3,20,119,40,0,0,23
TR9,r,t,n,0,11,6,37,11,0,0,3,68,26,0,0,23
GP8,p,g,v,23,913,31,14,3,9,6,26,901,37,3,20,0
GR8,r,g,v,225,1066,310,199,461,48,91,23,688,600,26,0,284
TP8,p,t,v,17,2204,54,117,11,0,11,20,2525,77,3,3,68
TR8,r,t,v,3,520,74,762,125,20,65,0,668,173,3,0,267
GP7,p,g,v,26,247,68,6,3,3,3,20,813,9,6,0,0
GR7,r,g,v,117,509,290,63,191,6,26,11,682,117,60,9,131
TP7,p,t,v,26,3477,17,28,0,0,3,37,2693,17,0,0,0
TR7,r,t,v,48,429,57,412,97,9,63,9,808,102,26,6,57
GP10,p,g,n,3,159,14,31,3,0,48,91,100,23,0,0,17
GR10,r,g,n,0,68,191,26,51,3,253,0,80,233,3,0,11
TP10,p,t,n,0,51,0,6,9,0,0,6,71,0,0,0,31
TR10,r,t,n,0,28,6,40,14,0,0,0,40,54,0,0,0

