group,no,length,width,stalk
HSE,1,83,87,74
HSE,2,130,153,105
HSE,3,140,148,135
HSE,4,102,110,94
HSE,5,190,151,89
HSE,6,225,139,91
HSE,7,195,165,76
HSE,8,216,135,113
HSE,9,250,195,119
HSE,10,152,168,158
HSE,11,100,97,52
HSE,12,170,155,90
HSE,13,126,160,120
HSE,14,100,125,118
HSE,15,210,166,88
HSE,16,142,155,132
HSE,17,102,105,70
HSE,18,162,175,135
HSE,19,102,125,83
HSE,20,165,150,98
HSE,21,92,154,99
HSE,22,95,131,82
HSE,23,99,119,60
HSE,24,98,125,80
HSE,25,89,103,71
HSE,26,130,165,175
HSE,27,95,121,106
HSE,28,120,180,102
HSE,29,85,150,109
HSE,30,120,142,94
HSE,31,140,148,135
HSE,32,93,134,92
HSE,33,185,93,101
HSE,34,96,121,106
HSE,35,225,116,119
HYB,36,51,67,36
HYB,37,88,125,103
HYB,38,78,112,76
HYB,39,97,129,61
HYB,40,81,118,107
HYB,41,72,101,65
HYB,42,120,159,107
HYB,43,79,136,73
HYB,44,96,135,94
HYB,45,90,130,117
HYB,46,76,89,84
HYB,47,98,144,99
HYB,48,88,114,79
HYB,49,88,124,112
HYB,50,92,129,82
HYB,51,105,151,110
HYB,52,91,135,77
HYB,53,43,60,31
HYB,54,71,99,63
HYB,55,57,96,60
HYB,56,70,95,72
HYB,57,97,126,80
HYB,58,96,127,89
HYB,59,72,85,46
HYB,60,73,118,79
HYB,61,74,104,72
HYB,62,77,96,63
HYB,63,68,100,71
HYB,64,65,80,34
HYB,65,47,70,42
HYB,66,42,60,41
HYB,67,106,146,98
HYB,68,109,144,107
HYB,69,96,89,115
HYB,70,78,88,64
HYB,71,101,142,58
HYB,72,83,117,106
HYB,73,45,44,29
HYB,74,102,126,84
HYB,75,80,114,62
HYB,76,89,134,103
HYB,77,124,199,101
HYB,78,76,113,92
HYB,79,75,120,80
HYB,80,74,113,56
HYB,81,97,136,99
HYB,82,83,120,87
HYB,83,92,116,72
HYB,84,75,100,56
HYB,85,73,99,77
HYB,86,90,121,100
HYB,87,120,158,123
HYB,88,93,136,81
HYB,89,112,155,113
HYB,90,98,137,112
HYB,91,37,45,31
HYB,92,70,97,66
HYB,93,59,77,48
HYB,94,75,98,62
HYB,95,75,99,60
HYB,96,59,83,57
HYB,97,69,64,74
HYB,98,66,94,67
HYB,99,91,132,85
HYB,100,59,68,39
HYB,101,60,76,57
HYB,102,52,63,38
HYB,103,63,68,60
HYB,104,93,104,83
HYB,105,60,84,47
HYB,106,43,54,29
HYB,107,72,113,85
HYB,108,61,97,79
HYB,109,84,132,87
HYB,110,89,113,90
HYB,111,106,162,102
HYB,112,109,150,86
HYB,113,94,95,41
HYB,114,68,87,56
HYB,115,63,77,64
HYB,116,50,63,32
HYB,117,50,78,43
HYB,118,86,110,47
HYB,119,61,85,46
HYB,120,114,157,144
HYB,121,91,124,95
HYB,122,117,186,86
HYB,123,82,115,62
HYB,124,91,128,88
HYB,125,53,75,44
HYB,126,65,97,67
