Nr  TP  CHLa    Limitation
1   2.911374498 0.295592028 P
2   4.18520068  3.301034694 P
3   4.536726068 1.050302471 P
4   4.536726068 2.192957401 P
5   5.22442536  1.31524097  P
6   5.439408352 3.104610377 P
7   7.663255578 0.697741402 P
8   7.819336037 2.33170272  P
9   8.141098555 1.862010982 P
10  8.476101469 2.429042809 P
11  9.004629523 1.787393806 P
12  9.760950696 2.860771207 P
13  10.36959564 1.979817788 P
14  10.58079716 1.370147485 P
15  10.58079716 2.746130279 P
16  10.79630031 3.041768164 P
17  10.79630031 3.5098865   P
18  12.18468653 3.809053315 P
19  12.68608146 1.979817788 P
20  14.03170135 3.234216543 P
21  14.31749039 2.105078066 P
22  15.52005192 2.379875149 P
23  15.52005192 8.285044569 P
24  15.83615476 9.757595407 P
25  17.51590473 5.852183558 P
26  19.37382674 4.486059287 P
27  19.37382674 5.176449382 P
28  19.76842089 5.733726127 P
29  21.00108251 5.071669877 P
30  21.4288196  4.133719754 P
31  22.31060686 4.868430646 P
32  23.22867932 11.49187157 P
33  24.18453008 2.746130279 P
34  25.17971372 15.93993986 P
35  27.29462034 3.968067405 P
36  27.85054032 15.93993986 P
37  28.41778294 20.37317026 P
38  28.9965788  4.868430646 P
39  28.9965788  12.47138661 P
40  34.76609134 3.5098865   P
41  36.93393403 23.99421643 P
42  38.45375049 6.096490887 P
43  38.45375049 8.285044569 P
44  40.85153749 10.3749447  P
45  43.39883871 23.99421643 P
46  43.39883871 24.9958875  P
47  44.28275947 9.560086278 P
48  48.97985703 26.03937468 P
49  50.99535835 11.25925795 P
50  52.03400033 24.9958875  P
51  52.03400033 29.43855703 P
52  58.72548605 20.79407515 P
53  64.95453186 25.51229664 P
54  64.95453186 23.99421643 P
55  66.27748568 8.117342192 P
56  66.27748568 37.62603496 P
57  67.62738459 21.66215198 P
58  71.84429612 12.72904252 P
59  73.3075764  15.30117172 P
60  77.87867678 6.222442952 P
61  77.87867678 11.49187157 P
62  77.87867678 16.60537424 P
63  77.87867678 27.12642364 P
64  77.87867678 27.12642364 P
65  95.27615849 25.51229664 P
66  105.382155  28.84267418 P
67  107.5285137 11.97161531 P
68  116.5601003 14.09940256 P
69  118.9341245 20.79407515 P
70  131.5495349 49.08416252 P
71  136.9627451 73.88585084 P
72  160.9366627 75.41231511 P
73  236.0640057 18.02074107 P
74  245.7779442 33.28146896 P
75  255.8916072 49.08416252 P
76  283.034176  23.99421643 P
77  93.37436702 3.234216543 I
78  325.937891  5.503956028 I
79  174.4541323 6.350997157 I
80  174.4541323 8.117342192 I
81  167.5591413 8.117342192 I
82  157.7242329 8.809227645 I
83  91.51053688 7.034721224 N
84  142.5987067 9.560086278 N
85  375.3451626 16.26925526 N
86  142.5987067 27.68684916 N
87  160.9366627 30.66750947 N
88  44.28275947 13.53439107 N
89  58.72548605 14.09940256 N
90  63.65798531 18.39304533 N
91  375.3451626 64.03159443 N
92  760.1699243 87.01802783 N
