group,biovol
nit85,437.8
nit85,318.8
nit85,554
nit85,289.3
nit85,404.5
nit85,289.3
nit85,220.3
nit85,370.7
nit85,279.2
nit85,310.4
nit85,210.8
nit85,374.9
nit85,376.8
nit85,301.6
nit85,168.3
nit85,333.7
nit85,208.7
nit85,454
nit85,311
nit85,224.6
nit85,411.3
nit85,441.9
nit85,452.3
nit85,410.9
nit85,288.8
nit85,199.7
nit85,358.2
nit85,228.2
nit85,358.3
nit85,255.6
nit85,347.8
nit85,346
nit85,348.4
nit85,230.2
nit85,268.6
nit85,270.6
nit85,349
nit85,351.4
nit85,374.1
nit85,185.7
nit85,197.9
nit85,336.9
nit85,183.7
nit85,296.9
nit85,289.3
nit85,328.6
nit85,393.9
nit85,217.9
nit85,436
nit85,445.7
nit85,225.9
nit85,231
nit85,328.1
nit90,253.6
nit90,368.1
nit90,306.9
nit90,424.9
nit90,579.8
nit90,764.4
nit90,235.6
nit90,321.7
nit90,435.5
nit90,465
nit90,2167.6
nit90,955
nit90,426.5
nit90,178
nit90,1243.5
nit90,1894.3
nit90,720.5
nit90,791.7
nit90,282.7
nit90,649.2
nit90,831.2
nit90,101.6
nit90,421.7
nit90,76.4
nit90,362.8
nit90,611.5
nit90,368.6
nit90,916.3
nit90,615.7
nit90,653.4
nit90,505.1
nit90,858.8
nit90,1063.5
nit90,994.8
nit90,444.2
nit90,837.7
nit90,689.2
nit90,703.6
nit90,167.7
nit90,384.7
nit90,139.1
nit90,1227.1
nit90,163.6
nit90,1815.2
nit90,670.8
nit90,326.7
nit90,819.1
nit90,515.4
nit90,373.9
nit90,598.2
nit90,1047.2
nit90,529.2
nit90,533.8
nit90,543
nit90,399.5
nit90,547.6
nit90,383.5
nit90,388.6
nit90,543
nit90,493.3
nit90,486
nit90,366.3
nit90,529.2
nit90,899.9
nit90,504.4
nit90,533.4
nit90,515.4
nit90,212.1
nit90,121.2
nit90,126.7
nit90,702.1
nit90,526.5
nit90,283.7
nit90,162.9
