name,lat,lon
Ammersee,48,11.116667
Arendsee,52.889167,11.474167
Bodensee,47.633333,9.366667
Chiemsee,47.861944,12.401111
Dobersdorfer See,54.318685,10.306038
Großer Müggelsee,52.433333,13.65
Großer Plöner See,54.130278,10.414167
Kummerower See,53.808333,12.859444
Laacher See,50.410278,7.269722
Müritz (Außenmüritz),53.416667,12.683333
Müritz (Binnenmüritz),53.50944,12.66522
Plauer See,53.465833,12.3075
Sacrower See,52.440278,13.097222
Scharmützelsee,52.25,14.05
Schweriner See (Außensee),53.72779,11.46456
Schweriner See (Innensee),53.64618,11.45891
Starnberger See,47.916667,11.316667
Stechlinsee,53.151553,13.026172
Steinhuder Meer,52.472222,9.33
Unterbacher See,51.194722,6.891667
