name,shortname,drainage,population,altitude,z_mean,z_max,t_ret,volume,area,shore_length,shore_devel,drain_ratio,p_tot,n_no3,chl,wfd_type
Ammersee,Ammer,993,114900,532.9,37.6,81.1,2.7,1.75,46.6,43,1.78,20.3,7.3,1.09,2.8,Typ 4
Arendsee,Arend,29.8,3200,22.8,28.6,48.7,50,0.147,5.14,9,1.12,5.8,375,0.05,22.3,Typ 13
Bleilochtalsperre,Blei,1239.9,180000,404,23.3,55,0.526,0.215,9.2,NA,NA,NA,NA,NA,NA,Typ 5
Bodensee,Boden,11477,1400000,395.45,85,254,4.2,48.5215,571.5,273,2.26,21.95,6.9,0.84,2.1,Typ 4
Borgwallsee,Borgw,28.2,28,13.1,2.4,4.8,1.9,0.009,3.9,10.4,1.48,7.2,NA,NA,NA,Typ 11
Breiter Luzin,Luzin,22.6,NA,84.2,22.3,58.3,16.3,0.077,3.5,13.7,2.09,6.5,NA,NA,NA,Typ 13
Brombachsee,Bromb,628,1495,407.5,15.89,32.5,NA,0.1446,9.1,17.5,1.64,69,NA,NA,NA,Typ 5
Chiemsee,Chiem,606.34,63519,518.2,25.6,73.4,1.26,2.048,79.9,64,2.02,7.6,9.2,0.55,3.8,Typ 4
Conventer See,Conve,39,NA,-0.1,1,1.7,0.1,9e-04,0.9,7.5,2.22,42.7,NA,NA,NA,Typ 11
Dobersdorfer See,Dober,23.4,NA,19.01,5.4,18.8,2.3,0.0169,3.12,10.1,1.6,6.5,63.9,0.64,27.3,Typ 14
Drewitzer See,Drewi,32.9,NA,62.2,9.7,31.3,26.7,0.067,6.9,22.2,2.38,4.8,NA,NA,NA,Typ 13
Edertalsperre,Eder,1443,NA,244,14.32,32,NA,0.1504,10.502,69.4,NA,NA,NA,NA,NA,Typ 5
Goitschesee,Goits,62,NA,75,16.28,50.3,NA,0.214,13.15,36.85,NA,10.1,NA,NA,NA,Typ 13
Großer Müggelsee,Muegg,6790,711000,32.37,4.85,7.5,0.2,0.035,7.2,11.5,1.23,943,189.9,0.17,32.9,Typ 11
Großer Plöner See,Ploen,382,NA,21,12.4,58,3.1,0.372,29.97,42.5,2.2,11.7,62.3,0.22,8.8,Typ 13
Hohenwartetalsperre,Hohen,1657.3,499600,300,24.9,65,0.379,0.182,7.3,NA,NA,NA,NA,NA,NA,Typ 5
Kochelsee,Koche,683.8,55127,598.8,31.04,65.9,0.12,0.1847,5.95,14.64,1.69,114.9,NA,NA,NA,Typ 4
Königssee,Koenig,136.5,195,603.3,98.1,180,2.35,0.51179,5.22,19.96,2.46,26.1,NA,NA,NA,Typ 4
Krakower Obersee,KrakO,150.6,NA,47.5,7.5,28.3,10,0.06,8,24.5,2.45,18.9,NA,NA,NA,Typ 10
Krakower Untersee,KrakU,214,NA,47.5,7.8,22,1.2,0.02,7.1,31.9,3.39,81.7,NA,NA,NA,Typ 10
Kummerower See,Kumme,1201.84,46600,0.2,8.1,23.3,1.5,0.263,32.5,31.6,1.56,36.9,65.3,0.78,16.6,Typ 11
Laacher See,Laach,12.215,NA,274.7,31.1,51,21,0.103,3.31,7.06,1.1,2.7,44,0.01,NA,Typ 7
Langbürgner See,Langb,28.9,377,530.4,9.14,37.3,NA,0.0091,1.04,9.3,2.57,27.8,NA,NA,NA,Typ 2
Muldestausee,Mulde,6373,NA,79.1,12.8,28.4,0.038,0.0769,6,16.55,NA,16.1,NA,NA,NA,Typ 10
